datetime,ax,ay,az
2026/4/18 19:52:33.2066,0.631800,0.058500,0.834600
2026/4/18 19:52:33.2166,0.631800,0.058500,0.834600
2026/4/18 19:52:33.2266,0.635700,0.062400,0.834600
2026/4/18 19:52:33.2366,0.635700,0.054600,0.834600
2026/4/18 19:52:33.3586,0.639600,0.058500,0.834600
2026/4/18 19:52:33.3686,0.635700,0.054600,0.834600
2026/4/18 19:52:33.3786,0.635700,0.054600,0.826800
2026/4/18 19:52:33.3886,0.631800,0.058500,0.834600
2026/4/18 19:52:33.3986,0.639600,0.054600,0.830700
2026/4/18 19:52:33.4086,0.631800,0.058500,0.834600
2026/4/18 19:52:33.4186,0.635700,0.054600,0.830700
2026/4/18 19:52:33.4286,0.631800,0.058500,0.834600
2026/4/18 19:52:33.4386,0.631800,0.054600,0.838500
2026/4/18 19:52:33.4486,0.639600,0.054600,0.830700
2026/4/18 19:52:33.4586,0.635700,0.058500,0.838500
2026/4/18 19:52:33.4686,0.635700,0.058500,0.834600
2026/4/18 19:52:33.4786,0.631800,0.054600,0.830700
2026/4/18 19:52:33.4886,0.635700,0.058500,0.834600
2026/4/18 19:52:33.4986,0.631800,0.062400,0.834600
2026/4/18 19:52:33.5086,0.635700,0.058500,0.830700
2026/4/18 19:52:33.5186,0.635700,0.062400,0.830700
2026/4/18 19:52:33.5286,0.639600,0.058500,0.834600
2026/4/18 19:52:33.5386,0.635700,0.058500,0.834600
2026/4/18 19:52:33.5486,0.631800,0.058500,0.834600
2026/4/18 19:52:33.6706,0.635700,0.058500,0.834600
2026/4/18 19:52:33.6806,0.631800,0.058500,0.834600
2026/4/18 19:52:33.6906,0.639600,0.062400,0.838500
